tconst,actors,mpaaRating,synopsis,title,tomatoIcon,releaseDate,genres,directors,studio,tomatoMeter,audienceScore,tomatoCount,audienceCount,year,titleType,isAdult,runtime,averageRating,numVotes,boRank,studioAcronym,boWorldwide,totalTheaters,boOpening,openingTheaters,topActors,topDirectors,sentimentBefore,sentimentAfter,numCommentsBefore,numCommentsAfter,positiveWordsBefore,positiveWordsAfter
tt3741700,"['Vera Farmiga', 'Ken Watanabe', 'Sally Hawkins']",PG13,"The new story follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species - thought to be mere myths - rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",Godzilla: King of the Monsters,rotten,2019-05-31,"['Action & Adventure', 'Science Fiction & Fantasy']",['Michael Dougherty'],Warner Bros. Pictures,41.0,83.0,315,"25,177",2019.0,movie,0,132.0,6.3,66894,100,WB,110442744.0,4108,47776293.0,4108,0,0,0.13636520202020208,0.17945000000000003,1980,46,1,0
tt5113040,"['Kevin Hart', 'Tiffany Haddish', 'Harrison Ford']",PG,"THE SECRET LIFE OF PETS 2 will follow summer 2016's blockbuster about the lives our pets lead after we leave for work or school each day. Illumination founder and CEO Chris Meledandri and his longtime collaborator Janet Healy will produce the sequel to the comedy that had the best opening ever for an original film, animated or otherwise. THE SECRET LIFE OF PETS 2 will see the return of writer Brian Lynch (Minions) and once again be directed by Chris Renaud (Despicable Me series, Dr. Seuss' The Lorax).",The Secret Life of Pets 2,rotten,2019-06-07,"['Animation', 'Comedy']","['Chris Renaud', 'Jonathan Del Val']",Universal Pictures,59.0,90.0,148,"21,881",2019.0,movie,0,86.0,6.5,15017,42,Uni.,157213045.0,4564,46652680.0,4561,2,1,-0.006963235294117624,0.0,68,3,0,0
tt2283336,"['Chris Hemsworth', 'Tessa Thompson', 'Rebecca Ferguson']",PG13,"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest, most global threat to date: a mole in the Men in Black organization.",Men in Black: International,rotten,2019-06-14,"['Action & Adventure', 'Comedy', 'Science Fiction & Fantasy']",['F. Gary Gray'],Columbia Pictures,22.0,66.0,293,"11,472",2019.0,movie,0,114.0,5.6,39125,135,Sony,79538167.0,4224,30035838.0,4224,2,1,0.08261292620865132,0.12897294589178349,1965,499,9,0
tt1298644,"['Rebel Wilson', 'Anne Hathaway', 'Alex Sharp']",PG13,"Rebel Wilson and Anne Hathaway have winning chemistry as a pair of con artists plying their trade in a stunning seaside town in the south of France. Josephine Chesterfield (Hathaway) is a glamorous, seductive Brit with a sprawling home in Beaumont-sur-Mer and a penchant for defrauding gullible wealthy men from all corners of the world. Into her well-ordered, meticulously moneyed world bursts Penny Rust (Wilson), an Aussie who is as free-form and fun-loving as Josephine is calculated and cunning. Where Penny amasses wads of cash by ripping off her marks in neighborhood bars, Josephine fills her safe with massive diamonds after ensnaring her prey in glitzy casinos. Despite their different methods, both are masters of the art of the fleece so they con the men that have wronged women. Wilson's talent for physicality and Hathaway's withering wit are a combustible combination as the pair of scammers pull out all the stops to swindle a naïve tech billionaire (Alex Sharp).",The Hustle,rotten,2019-05-10,['Comedy'],['Chris Addison'],MGM,14.0,47.0,147,"2,782",2019.0,movie,0,93.0,5.3,14343,1,UAR,35417038.0,3077,13007709.0,3007,1,0,0.09243897058823536,0.18132727272727275,272,11,1,0
tt6423362,"['Yara Shahidi', 'Charles Melton', 'John Leguizamo']",PG13,"College-bound romantic Daniel Bae and Jamaica-born pragmatist Natasha Kingsley meet--and fall for each other--over one magical day amidst the fervor and flurry of New York City. Sparks immediately fly between these two strangers, who might never have met had fate not given them a little push. But will fate be enough to take these teens from star-crossed to lucky in love? With just hours left on the clock in what looks to be her last day in the U.S., Natasha is fighting against her family's deportation as fiercely as she's fighting her budding feelings for Daniel, who is working just as hard to convince her they are destined to be together. A modern-day story about finding love against all odds, ""The Sun Is Also a Star"" explores whether our lives are determined by fate or the random events of the universe.",The Sun Is Also a Star,rotten,2019-05-17,"['Drama', 'Romance']",['Ry Russo-Young'],Warner Bros. Pictures,51.0,66.0,96,645,2019.0,movie,0,100.0,5.5,1713,733,WB,4950029.0,2073,2511530.0,2073,1,0,0.09782857142857145,0.13101590457256454,42,503,0,9
tt8385474,"['Marg Helgenberger', 'Betty Gilpin', 'Henry Lau']",PG,"Bailey (voiced again by Josh Gad) is living the good life on the Michigan farm of his ""boy,"" Ethan (Dennis Quaid) and Ethan's wife Hannah (Marg Helgenberger). He even has a new playmate: Ethan and Hannah's baby granddaughter, CJ. The problem is that CJ's mom, Gloria (Betty Gilpin), decides to take CJ away. As Bailey's soul prepares to leave this life for a new one, he makes a promise to Ethan to find CJ and protect her at any cost. Thus begins Bailey's adventure through multiple lives filled with love, friendship and devotion as he, CJ (Kathryn Prescott), and CJ's best friend Trent (Henry Lau) experience joy and heartbreak, music and laughter, and few really good belly rubs.",A Dog's Journey,rotten,2019-05-17,"['Drama', 'Kids & Family']",['Gail Mancuso'],Universal Pictures,49.0,93.0,79,"2,633",2019.0,movie,0,109.0,7.4,5296,409,Uni.,22546590.0,3279,8030085.0,3267,0,0,0.15187777777777778,0.12840601202404808,18,499,0,9
tt1489887,"['Kaitlyn Dever', 'Beanie Feldstein', 'Jessica Williams']",R,"The story follows Dever and Feldstein's characters, two academic superstars and best friends who, on the eve of their high school graduation, suddenly realize that they should have worked less and played more. Determined never to fall short of their peers, the girls set out on a mission to cram four years of fun into one night.",Booksmart,certified_fresh,2019-05-24,['Comedy'],['Olivia Wilde'],,97.0,77.0,313,"4,108",2019.0,movie,0,102.0,7.4,31461,3,UAR,22680962.0,2518,6933620.0,2505,0,0,0.21558333333333332,0.33060761316872445,12,972,0,16
tt2066051,"['Taron Egerton', 'Jamie Bell', 'Richard Madden']",R,"ROCKETMAN is an epic musical fantasy about the incredible human story of Elton John's breakthrough years. The film follows the fantastical journey of transformation from shy piano prodigy Reginald Dwight into international superstar Elton John. This inspirational story -- set to Elton John's most beloved songs and performed by star Taron Egerton -- tells the universally relatable story of how a small-town boy became one of the most iconic figures in pop culture. ROCKETMAN also stars Jamie Bell as Elton's longtime lyricist and writing partner Bernie Taupin, Richard Madden as Elton's first manager, John Reid, and Bryce Dallas Howard as Elton's mother Sheila Farebrother.",Rocketman,certified_fresh,2019-05-31,['Drama'],['Dexter Fletcher'],Paramount Pictures,89.0,88.0,343,"21,621",2019.0,movie,0,121.0,7.5,53862,104,Par.,96139553.0,3610,25725722.0,3610,0,0,0.17166098265895946,-0.02253248730964467,692,394,4,0
tt7752126,"['Elizabeth Banks', 'David Denman', 'Jackson A. Dunn ']",R,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",Brightburn,rotten,2019-05-24,"['Horror', 'Science Fiction & Fantasy']",['David Yarovesky'],,57.0,67.0,192,"4,331",2019.0,movie,0,90.0,6.2,33662,533,SGem,17300439.0,2607,7845658.0,2607,1,0,-0.0069960334029227555,0.23786085271317808,479,258,0,0
tt4353250,"['Jimmie Fails', 'Jonathan Majors', 'Tichina Arnold']",R,"Jimmie Fails dreams of reclaiming the Victorian home his grandfather built in the heart of San Francisco. Joined on his quest by his best friend Mont, Jimmie searches for belonging in a rapidly changing city that seems to have left them behind.",The Last Black Man in San Francisco,certified_fresh,2019-06-07,['Drama'],['Joe Talbot'],,93.0,84.0,157,496,2019.0,movie,0,121.0,7.7,2503,23,A24,4508773.0,207,235272.0,7,0,0,0.06460915331807775,0.33783595505617975,437,178,2,7
